disease,description
Actinic keratosis,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Acute Sore throatTreatment of Cough with mucus,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Acute coronary syndrome,A medical condition characterized by a specific set of associated symptoms. It often requires a specialized management plan from a healthcare professional.
Acute migraine headache,A specific kind of severe headache often accompanied by nausea and light sensitivity. It can last for hours or days. Identifying triggers and taking medication relieves it.
Acute myocardial infarction,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Adrenal insufficiency,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Adrenocortical carcinoma,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Alcohol addiction,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Alcohol use disorder,An abnormal condition affecting normal bodily functions. It may exhibit varying symptoms. Professional medical diagnosis is recommended for a proper care plan.
Alcoholic fatty liver disease,An abnormal condition affecting normal bodily functions. It may exhibit varying symptoms. Professional medical diagnosis is recommended for a proper care plan.
Alcoholic hepatitis,Liver inflammation caused by excessive alcohol consumption. It leads to yellowish skin and abdominal pain. Complete abstinence from alcohol is the primary treatment.
Allergic conditions,"An immune system response to foreign substances like pollen, dust, or certain foods. It causes sneezing, itching, or rashes. Avoiding triggers and antihistamines manage signs."
Allergic conjunctivitis,"An immune system response to foreign substances like pollen, dust, or certain foods. It causes sneezing, itching, or rashes. Avoiding triggers and antihistamines manage signs."
Allergic eye disease,"An immune system response to foreign substances like pollen, dust, or certain foods. It causes sneezing, itching, or rashes. Avoiding triggers and antihistamines manage signs."
Allergic reactions,"An immune system response to foreign substances like pollen, dust, or certain foods. It causes sneezing, itching, or rashes. Avoiding triggers and antihistamines manage signs."
Allergic rhinitis,"An immune system response to foreign substances like pollen, dust, or certain foods. It causes sneezing, itching, or rashes. Avoiding triggers and antihistamines manage signs."
Allergic skin conditions,"An immune system response to foreign substances like pollen, dust, or certain foods. It causes sneezing, itching, or rashes. Avoiding triggers and antihistamines manage signs."
Allergies,"An immune system response to foreign substances like pollen, dust, or certain foods. It causes sneezing, itching, or rashes. Avoiding triggers and antihistamines manage signs."
Allergy,"An immune system response to foreign substances like pollen, dust, or certain foods. It causes sneezing, itching, or rashes. Avoiding triggers and antihistamines manage signs."
Alzheimer's,A progressive neurologic disorder that causes the brain to shrink and brain cells to die. It leads to severe memory loss. Routine care and supportive therapies slow progression.
Alzheimer's disease,A progressive neurologic disorder that causes the brain to shrink and brain cells to die. It leads to severe memory loss. Routine care and supportive therapies slow progression.
Alzheimer's disease Stroke Dementia in Parkinson's disease Age related memory loss Head injury,A progressive neurologic disorder that causes the brain to shrink and brain cells to die. It leads to severe memory loss. Routine care and supportive therapies slow progression.
Amebiasis,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Amyotrophic lateral sclerosis (ALS),A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Anaerobic bacterial infections,An illness caused by harmful bacteria entering the body. Symptoms depend on the infected area. Antibiotics and proper rest are generally required.
Anaphylaxis,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Anemia of chronic kidney disease,An abnormal condition affecting normal bodily functions. It may exhibit varying symptoms. Professional medical diagnosis is recommended for a proper care plan.
Anesthesia,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Angina,A type of chest pain caused by reduced blood flow to the heart. It feels like squeezing or pressure in the chest. Lifestyle changes and medication improve blood flow.
Angina pectoris,A type of chest pain caused by reduced blood flow to the heart. It feels like squeezing or pressure in the chest. Lifestyle changes and medication improve blood flow.
Angioedema,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Ankylosing spondylitis Rheumatoid arthritis Psoriasis Ulcerative colitis Crohn’s disease,Inflammation of one or more joints causing pain and stiffness. It worsens with age. Physical therapy and pain management are key precautions.
Antacid,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Anxiety,"A mental health condition characterized by intense, excessive, and persistent worry. It causes a fast heart rate and fatigue. Therapy and stress management techniques are key."
Anxiety disorder,"A mental health condition characterized by intense, excessive, and persistent worry. It causes a fast heart rate and fatigue. Therapy and stress management techniques are key."
Anxiety disorders,"A mental health condition characterized by intense, excessive, and persistent worry. It causes a fast heart rate and fatigue. Therapy and stress management techniques are key."
Appetite stimulant,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Appetite stimulant (cachexia),A localized physical discomfort indicating an underlying issue. It can vary in intensity. Managing the root cause and pain relievers help.
Appetite stimulantTreatment of Allergic skin conditions,"An immune system response to foreign substances like pollen, dust, or certain foods. It causes sneezing, itching, or rashes. Avoiding triggers and antihistamines manage signs."
Arrhythmia,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Arthralgia (joint pain),A physical suffering or discomfort caused by illness or injury. It serves as a signal that something is wrong in the body. Identifying the cause directly addresses it.
Arthritis,Inflammation of one or more joints causing pain and stiffness. It worsens with age. Physical therapy and pain management are key precautions.
Asthma,A chronic respiratory condition where airways narrow and swell. It causes breathing difficulty and wheezing. Inhalers and avoiding allergens reduce attacks.
Atopic dermatitis,"A dermatological condition affecting the skin's surface. It can cause irritation, redness, or bumps. Keeping the skin clean and using topical ointments usually helps."
Atrial fibrillation/flutter,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Autoimmune disorders (Crohn's,An abnormal condition affecting normal bodily functions. It may exhibit varying symptoms. Professional medical diagnosis is recommended for a proper care plan.
Autoimmune disorders (RA,An abnormal condition affecting normal bodily functions. It may exhibit varying symptoms. Professional medical diagnosis is recommended for a proper care plan.
BPH,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Bacterial & parasitic infections,An infection caused by parasites surviving in the host body. It often leads to weakness and digestive issues. Anti-parasitic medications and hygiene resolve the condition.
Bacterial eye / ear infections,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Bacterial eye / ear infectionsTreatment of Bacterial eye infections,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Bacterial eye / ear infectionsTreatment of Bacterial infections,An illness caused by harmful bacteria entering the body. Symptoms depend on the infected area. Antibiotics and proper rest are generally required.
Bacterial eye infections,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Bacterial eye infectionsTreatment of Bacterial infections,An illness caused by harmful bacteria entering the body. Symptoms depend on the infected area. Antibiotics and proper rest are generally required.
Bacterial infections,An illness caused by harmful bacteria entering the body. Symptoms depend on the infected area. Antibiotics and proper rest are generally required.
Bacterial infections (e.g.,An illness caused by harmful bacteria entering the body. Symptoms depend on the infected area. Antibiotics and proper rest are generally required.
Bacterial infections (often combined with trimethoprim),An illness caused by harmful bacteria entering the body. Symptoms depend on the infected area. Antibiotics and proper rest are generally required.
Bacterial infections Parasitic infections,An illness caused by harmful bacteria entering the body. Symptoms depend on the infected area. Antibiotics and proper rest are generally required.
Bacterial infections Tuberculosis (TB),A contagious bacterial infection that primarily attacks the lungs. It causes chronic coughing and weight loss. A long course of specific antibiotics is essential.
Bacterial infections of external ear Fungal skin infections,"An infection caused by fungus usually on the skin or nails. It results in itchy, red, or peeling skin. Antifungal creams and keeping areas dry are needed."
Bacterial infections of the vagina (bacterial vaginosis),An illness caused by harmful bacteria entering the body. Symptoms depend on the infected area. Antibiotics and proper rest are generally required.
Bacterial infections of urinary tract,"An infection in any part of the urinary system. It causes a painful, burning sensation while urinating. Drinking lots of water and taking antibiotics clears it."
Bacterial skin infections,"A dermatological condition affecting the skin's surface. It can cause irritation, redness, or bumps. Keeping the skin clean and using topical ointments usually helps."
Benign prostatic hyperplasia,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Benzodiazepine overdose,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Bipolar Disorder,A mental health condition that causes extreme mood swings. It includes emotional highs (mania) and lows (depression). Consistent psychiatric care and medication are needed.
Bipolar depression,A mental health condition that causes extreme mood swings. It includes emotional highs (mania) and lows (depression). Consistent psychiatric care and medication are needed.
Bipolar disorder,A mental health condition that causes extreme mood swings. It includes emotional highs (mania) and lows (depression). Consistent psychiatric care and medication are needed.
Bleeding,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Bloating Abdominal pain,A physical suffering or discomfort caused by illness or injury. It serves as a signal that something is wrong in the body. Identifying the cause directly addresses it.
Blood cancer (Acute lymphocytic leukemia),A disease caused by an uncontrolled division of abnormal cells in a part of the body. Its effect varies greatly. Early detection and specialized medical treatments are necessary.
Blood cancer (Chronic myeloid leukaemia),A disease caused by an uncontrolled division of abnormal cells in a part of the body. Its effect varies greatly. Early detection and specialized medical treatments are necessary.
Blood clots,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Brain tumor,An abnormal mass of tissue resulting from uncontrolled cell growth. Requires careful oncological assessment and specialized medical treatments.
Brain tumors,An abnormal mass of tissue resulting from uncontrolled cell growth. Requires careful oncological assessment and specialized medical treatments.
Breast cancer,A disease caused by an uncontrolled division of abnormal cells in a part of the body. Its effect varies greatly. Early detection and specialized medical treatments are necessary.
Breast cancer (hormone receptor-positive),A disease caused by an uncontrolled division of abnormal cells in a part of the body. Its effect varies greatly. Early detection and specialized medical treatments are necessary.
Breast cancer Cancer of colon and rectum,A disease caused by an uncontrolled division of abnormal cells in a part of the body. Its effect varies greatly. Early detection and specialized medical treatments are necessary.
Breast cancer Endometrial cancer,A disease caused by an uncontrolled division of abnormal cells in a part of the body. Its effect varies greatly. Early detection and specialized medical treatments are necessary.
Breast cancer Stomach cancer,A disease caused by an uncontrolled division of abnormal cells in a part of the body. Its effect varies greatly. Early detection and specialized medical treatments are necessary.
Bronchial Asthma,A chronic respiratory condition where airways narrow and swell. It causes breathing difficulty and wheezing. Inhalers and avoiding allergens reduce attacks.
Bronchitis,"Inflammation of the lining of bronchial tubes, which carry air to and from the lungs. It causes a persistent cough. Resting and staying hydrated aid recovery."
Burns,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Burns Stretch Marks,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Burns Wound infection,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
COPD,A group of lung diseases that block airflow and make it difficult to breathe. It primarily results from smoking. Quitting smoking and using inhalers manage the disease.
COVID-19,A contagious respiratory illness caused by the SARS-CoV-2 virus. It ranges from mild symptoms to severe respiratory failure. Vaccination and isolation prevent its spread.
Calcium deficiency,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Cancer,A disease caused by an uncontrolled division of abnormal cells in a part of the body. Its effect varies greatly. Early detection and specialized medical treatments are necessary.
Cancer of colon and rectum,A disease caused by an uncontrolled division of abnormal cells in a part of the body. Its effect varies greatly. Early detection and specialized medical treatments are necessary.
Cancer of colon and rectum Non-small cell lung cancer Kidney cancer Brain tumor Ovarian cancer Cervical cancer,A disease caused by an uncontrolled division of abnormal cells in a part of the body. Its effect varies greatly. Early detection and specialized medical treatments are necessary.
Cardiovascular event prevention,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Carnitine deficiency,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Cataplexy,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Cervical ripening,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Cervical spondylosis,Age-related wear and tear of the spinal disks in the neck. It causes neck pain and stiffness. Physical therapy and good posture are recommended.
Chemotherapy-induced nausea/vomiting,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Chemotherapy-induced neutropenia,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Chicken pox,"A highly contagious viral infection causing an itchy, blister-like rash. It is preventable through vaccination. Rest and symptom management isolate the disease."
Chikungunya,"A viral infection transmitted by mosquitoes, causing fever and severe joint pain. Joint pain can last for months. Preventing mosquito bites is essential."
Cholesterol,High levels of fat in the blood that can build up in arteries. It significantly increases the risk of heart disease. A healthy diet and regular exercise lower these levels.
Chronic cholestasis,A condition where bile flow from the liver is reduced or blocked. It causes itching and jaundice. Dietary changes and medication help manage it.
Chronic hepatitis B virus (HBV) infection,A liver infection causing inflammation and potential damage. It is often spread through viruses or toxic substances. Medical diagnosis and vaccination are key for management.
Chronic hepatitis B virus (HBV) infection Chronic hepatitis C virus (HCV) infection Multiple myeloma Follicular lymphoma Hairy cell leukemia,A liver infection causing inflammation and potential damage. It is often spread through viruses or toxic substances. Medical diagnosis and vaccination are key for management.
Chronic hepatitis C virus (HCV) infection,A liver infection causing inflammation and potential damage. It is often spread through viruses or toxic substances. Medical diagnosis and vaccination are key for management.
Chronic immune thrombocytopenia,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Chronic liver disease Liver cirrhosis,An abnormal condition affecting normal bodily functions. It may exhibit varying symptoms. Professional medical diagnosis is recommended for a proper care plan.
Chronic lymphocytic leukemia (CLL),A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Chronic myeloid leukemia (CML),A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Chronic obstructive pulmonary disease (COPD),A group of lung diseases that block airflow and make it difficult to breathe. It primarily results from smoking. Quitting smoking and using inhalers manage the disease.
Chronic obstructive pulmonary disease (COPD) General Anaesthesia Peptic ulcer disease,A group of lung diseases that block airflow and make it difficult to breathe. It primarily results from smoking. Quitting smoking and using inhalers manage the disease.
Chronic obstructive pulmonary disease (COPD)Treatment of Asthma,A chronic respiratory condition where airways narrow and swell. It causes breathing difficulty and wheezing. Inhalers and avoiding allergens reduce attacks.
Clostridium difficile associated diarrhea,"Loose, watery bowel movements that occur frequently. It often results from infections or food poisoning. Staying hydrated with fluids is the most critical treatment."
Closure of surgical incisions,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Cognitive enhancer,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Colds & Flu,"A viral infection of your nose and throat. It causes sneezing, coughing, and runny nose. Proper rest, hydration, and hygiene help recovery."
Colorectal cancer,A disease caused by an uncontrolled division of abnormal cells in a part of the body. Its effect varies greatly. Early detection and specialized medical treatments are necessary.
Common Cold,"A viral infection of your nose and throat. It causes sneezing, coughing, and runny nose. Proper rest, hydration, and hygiene help recovery."
Common cold,"A viral infection of your nose and throat. It causes sneezing, coughing, and runny nose. Proper rest, hydration, and hygiene help recovery."
Complicated infections,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Complicated skin infections,"A dermatological condition affecting the skin's surface. It can cause irritation, redness, or bumps. Keeping the skin clean and using topical ointments usually helps."
Constipation,A digestive issue causing infrequent or difficult bowel movements. It leads to discomfort and abdominal pain. Drinking water and eating a high-fiber diet provide relief.
Constipation Bloating,A digestive issue causing infrequent or difficult bowel movements. It leads to discomfort and abdominal pain. Drinking water and eating a high-fiber diet provide relief.
Constipation Intestine preparation before any surgery,A digestive issue causing infrequent or difficult bowel movements. It leads to discomfort and abdominal pain. Drinking water and eating a high-fiber diet provide relief.
Constipation Irritable bowel syndrome,A digestive issue causing infrequent or difficult bowel movements. It leads to discomfort and abdominal pain. Drinking water and eating a high-fiber diet provide relief.
Contraception,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Contraception (implant),A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Contraception Heavy menstrual bleeding,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Cough,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Cough suppression,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Cough with mucus,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Covid 19,A contagious respiratory illness caused by the SARS-CoV-2 virus. It ranges from mild symptoms to severe respiratory failure. Vaccination and isolation prevent its spread.
Cystic fibrosis,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Cytomegalovirus (CMV) infections,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Cytomegalovirus (CMV) retinitis,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Cytomegalovirus Infection,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Dandruff,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Deep vein thrombosis Pulmonary embolism,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Dementia (cognitive decline),A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Dengue,A viral infection spread by mosquitoes that causes high fever and severe body pain. It may lead to weakness. Rest and medical attention are necessary.
Dental cavities,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Depression,"A mood disorder causing a persistent feeling of sadness and loss of interest. It affects how you feel, think, and handle daily activities. Therapy and medication provide support."
Depression Anxiety,"A mental health condition characterized by intense, excessive, and persistent worry. It causes a fast heart rate and fatigue. Therapy and stress management techniques are key."
Depression Anxiety disorder,"A mental health condition characterized by intense, excessive, and persistent worry. It causes a fast heart rate and fatigue. Therapy and stress management techniques are key."
Depression Bed-wetting Neuropathic pain,"A mood disorder causing a persistent feeling of sadness and loss of interest. It affects how you feel, think, and handle daily activities. Therapy and medication provide support."
Depression Obsessive-compulsive disorder,"A mood disorder causing a persistent feeling of sadness and loss of interest. It affects how you feel, think, and handle daily activities. Therapy and medication provide support."
Depression Smoking addiction,"A mood disorder causing a persistent feeling of sadness and loss of interest. It affects how you feel, think, and handle daily activities. Therapy and medication provide support."
Dermatitis Fungal skin infections,"An infection caused by fungus usually on the skin or nails. It results in itchy, red, or peeling skin. Antifungal creams and keeping areas dry are needed."
Diabetes,"A condition where blood sugar levels are too high. It can cause fatigue and frequent urination. Proper diet, exercise, and medication are important."
Diabetes (Type 1),"A condition where blood sugar levels are too high. It can cause fatigue and frequent urination. Proper diet, exercise, and medication are important."
Diabetes (Type 2),"A condition where blood sugar levels are too high. It can cause fatigue and frequent urination. Proper diet, exercise, and medication are important."
Diabetes insipidus,"A condition where blood sugar levels are too high. It can cause fatigue and frequent urination. Proper diet, exercise, and medication are important."
Diabetes insipidus Bed-wetting,"A condition where blood sugar levels are too high. It can cause fatigue and frequent urination. Proper diet, exercise, and medication are important."
Diabetes mellitus,"A condition where blood sugar levels are too high. It can cause fatigue and frequent urination. Proper diet, exercise, and medication are important."
Diabetic foot ulcers,"Sores that develop on the inner lining of the stomach or digestive tract. They cause burning stomach pain. Avoiding spicy food, stress, and NSAIDs help in recovery."
Diabetic nerve pain,A physical suffering or discomfort caused by illness or injury. It serves as a signal that something is wrong in the body. Identifying the cause directly addresses it.
Diarrhea,"Loose, watery bowel movements that occur frequently. It often results from infections or food poisoning. Staying hydrated with fluids is the most critical treatment."
Diarrhea Dysentery,"Loose, watery bowel movements that occur frequently. It often results from infections or food poisoning. Staying hydrated with fluids is the most critical treatment."
Diarrhea Worm infections,"Loose, watery bowel movements that occur frequently. It often results from infections or food poisoning. Staying hydrated with fluids is the most critical treatment."
Diarrhea caused by Cryptosporidium or Giardia,"Loose, watery bowel movements that occur frequently. It often results from infections or food poisoning. Staying hydrated with fluids is the most critical treatment."
Dimorphic hemmorhoids(piles),Swollen veins in the lowest part of the rectum or anus. It causes pain during bowel movements. A high-fiber diet and hydration alleviate symptoms.
Diphtheria Haemophilus influenzae Type b disease Pertussis Tetanus Polio,An abnormal condition affecting normal bodily functions. It may exhibit varying symptoms. Professional medical diagnosis is recommended for a proper care plan.
Diseases of respiratory tract,An abnormal condition affecting normal bodily functions. It may exhibit varying symptoms. Professional medical diagnosis is recommended for a proper care plan.
Drug Reaction,"An adverse physical response caused by medication. It often manifests as rashes, swelling, or fever. Stopping the drug and seeking medical care is necessary."
Dry Skin,"A dermatological condition affecting the skin's surface. It can cause irritation, redness, or bumps. Keeping the skin clean and using topical ointments usually helps."
Dry cough,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Dry eyes,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Dry mouth after radiotherapy of head and neck cancer,A disease caused by an uncontrolled division of abnormal cells in a part of the body. Its effect varies greatly. Early detection and specialized medical treatments are necessary.
Dry skin,"A dermatological condition affecting the skin's surface. It can cause irritation, redness, or bumps. Keeping the skin clean and using topical ointments usually helps."
Dyspepsia,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Ear infection,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Ear infectionTreatment of Fungal infections,"An infection caused by fungus usually on the skin or nails. It results in itchy, red, or peeling skin. Antifungal creams and keeping areas dry are needed."
Eczema,"A condition that makes your skin red, itchy, and inflamed. It often flares up periodically. Moisturizing daily and avoiding triggers manage symptoms."
Eczema Psoriasis,"A condition that makes your skin red, itchy, and inflamed. It often flares up periodically. Moisturizing daily and avoiding triggers manage symptoms."
Edema,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Edema (heart failure,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Emergency contraception,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Epilepsy,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Epilepsy/Seizures,"A sudden, uncontrolled electrical disturbance in the brain. It can cause changes in behavior, movements, or consciousness. Medical diagnosis and anticonvulsant medication are required."
Epilepsy/Seizures Bipolar disorder,A mental health condition that causes extreme mood swings. It includes emotional highs (mania) and lows (depression). Consistent psychiatric care and medication are needed.
Epilepsy/Seizures Trigeminal neuralgia Diabetic nerve pain,"A sudden, uncontrolled electrical disturbance in the brain. It can cause changes in behavior, movements, or consciousness. Medical diagnosis and anticonvulsant medication are required."
Epilepsy/SeizuresPrevention of Migraine Bipolar disorder,A mental health condition that causes extreme mood swings. It includes emotional highs (mania) and lows (depression). Consistent psychiatric care and medication are needed.
Epilepsy/SeizuresPrevention of Migraine Lennox–Gastaut syndrome,A specific kind of severe headache often accompanied by nausea and light sensitivity. It can last for hours or days. Identifying triggers and taking medication relieves it.
Erectile Dysfunction,The inability to get or keep an erection firm enough for sexual intercourse. It can be caused by stress or poor blood flow. Medical consultation helps find the root cause.
Erectile dysfunction,The inability to get or keep an erection firm enough for sexual intercourse. It can be caused by stress or poor blood flow. Medical consultation helps find the root cause.
Erectile dysfunction Peripheral vascular disease,The inability to get or keep an erection firm enough for sexual intercourse. It can be caused by stress or poor blood flow. Medical consultation helps find the root cause.
Eye Irritation,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Eye examination,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Eye examination Uveitis,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Eye infectionTreatment of Inflammatory conditionsTreatment of Autoimmune conditions,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Eye injury,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Facial hirsutism (Excessive hair growth on face),"An infection in any part of the urinary system. It causes a painful, burning sensation while urinating. Drinking lots of water and taking antibiotics clears it."
Fatigue Alzheimer's disease,A progressive neurologic disorder that causes the brain to shrink and brain cells to die. It leads to severe memory loss. Routine care and supportive therapies slow progression.
Fatty liver disease,An abnormal condition affecting normal bodily functions. It may exhibit varying symptoms. Professional medical diagnosis is recommended for a proper care plan.
Female infertility,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Female infertility Male hypogonadism,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Female infertility Male hypogonadism Male infertility,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Fibromyalgia Depression,"A mood disorder causing a persistent feeling of sadness and loss of interest. It affects how you feel, think, and handle daily activities. Therapy and medication provide support."
Folate deficiency,A medical condition or symptom that requires clinical evaluation. Proper rest and consulting a medical professional can determine the best course of action.
Fungal infection,"An infection caused by fungus usually on the skin or nails. It results in itchy, red, or peeling skin. Antifungal creams and keeping areas dry are needed."
